portfolioId,symbol,numberofshares,cashvalue
65,AMZN,296.00,905.54
59,ZM,795.00,431.62
99,PYPL,794.00,162.23
64,AAPL,427.00,142.33
22,CTSH,976.00,880.57
12,INTC,674.00,337.73
67,DELL,602.00,711.81
42,LRCX,188.00,356.15
77,STX,164.00,261.15
100,GOOGL,507.00,556.80
53,SNPS,501.00,342.11
78,CTSH,799.00,727.81
19,HPE,951.00,461.95
44,TSM,962.00,583.32
68,VRSN,874.00,668.47
73,TXN,221.00,875.39
41,XRX,423.00,874.44
17,MSFT,377.00,147.17
1,SNPS,584.00,42.17
27,AMZN,326.00,436.42
48,IBM,608.00,158.65
1,NVDA,494.00,301.53
65,TSM,138.00,760.80
44,ADBE,403.00,387.24
15,ADBE,528.00,880.84
31,ORCL,654.00,373.09
23,TDC,68.00,673.12
99,NTAP,246.00,554.77
75,AMAT,116.00,656.94
18,CTSH,276.00,497.31
46,JNPR,384.00,463.71
55,ZM,783.00,168.39
12,CTSH,997.00,212.23
61,SNPS,671.00,711.37
6,AAPL,248.00,152.62
50,NFLX,414.00,549.63
67,NTAP,395.00,17.09
5,TSLA,520.00,827.44
76,ACN,235.00,594.89
61,CRM,518.00,287.19
20,CRM,655.00,409.26
76,GOOGL,587.00,558.90
3,JNPR,816.00,15.49
27,VRSN,816.00,495.06
59,NFLX,157.00,362.59
94,AAPL,461.00,622.30
93,EA,938.00,864.46
55,AAPL,524.00,1.39
48,QCOM,599.00,312.50
23,STX,420.00,787.54
95,AMAT,836.00,527.70
44,CTSH,498.00,565.74
60,MU,922.00,698.32
59,HPE,717.00,99.03
70,HPQ,447.00,678.41
31,CSCO,804.00,472.31
91,ORCL,382.00,132.59
26,STX,856.00,740.51
7,QCOM,65.00,304.34
99,MSFT,407.00,96.92
88,ATVI,501.00,357.61
41,EA,684.00,266.08
42,SNPS,107.00,696.07
46,INTC,925.00,295.34
24,ATVI,930.00,399.22
83,ATVI,351.00,170.19
44,ORCL,124.00,931.47
32,CTSH,633.00,710.60
75,TSLA,456.00,578.16
5,ORCL,466.00,19.23
14,TSM,435.00,641.39
45,FB,160.00,346.96
68,HPE,670.00,289.02
7,TXN,12.00,617.29
70,DELL,12.00,91.90
13,TSLA,573.00,8.22
35,NFLX,38.00,706.95
27,GOOGL,834.00,928.93
65,CSCO,497.00,868.12
95,TDC,787.00,448.02
6,AVGO,392.00,832.41
69,XRX,767.00,731.40
62,TSLA,475.00,694.83
48,ZM,494.00,329.71
10,TXN,84.00,533.96
98,TXN,728.00,219.12
91,AMZN,387.00,179.00
37,TSM,51.00,343.58
4,STX,318.00,499.33
64,WDC,321.00,33.03
34,DELL,713.00,509.45
79,GOOGL,17.00,78.98
72,MU,399.00,254.90
2,GOOG,794.00,437.43
87,TSLA,297.00,398.73
100,XRX,287.00,499.04
93,ATVI,915.00,663.81
79,AMAT,393.00,617.01
93,SNPS,948.00,802.42
79,ADBE,3.00,115.74
67,ZBRA,105.00,562.75
96,CRM,447.00,316.74
74,XRX,693.00,200.95
18,ATVI,698.00,212.74
78,DELL,910.00,447.61
3,WDC,739.00,297.24
85,JNPR,321.00,479.23
15,NTAP,351.00,713.88
48,NTAP,464.00,368.27
49,HPQ,982.00,328.25
87,ADBE,79.00,689.05
21,JNPR,299.00,544.92
10,JNPR,39.00,442.54
4,HPQ,467.00,692.98
30,IBM,659.00,229.55
77,SNPS,207.00,586.07
37,NFLX,674.00,649.42
7,AVGO,208.00,425.85
23,MU,867.00,230.91
5,STX,517.00,563.14
68,WDC,20.00,811.92
66,MSFT,127.00,756.40
50,INTC,570.00,176.36
18,HPE,87.00,474.88
38,TSM,134.00,929.59
17,FB,127.00,481.95
16,HPQ,841.00,47.61
70,VRSN,953.00,404.08
82,ADBE,239.00,270.76
46,XRX,91.00,241.66
57,STX,395.00,529.11
5,NVDA,401.00,810.31
30,STX,690.00,884.88
